architecture,hidden_layer_sizes,accuracy,macro_f1,weighted_f1,iterations
64,"(64,)",0.8617113223854796,0.8564872176421101,0.8619604088105809,500
128,"(128,)",0.8699222126188418,0.863133268645921,0.870037464806171,500
256,"(256,)",0.8664649956784788,0.8620708359431439,0.8666186592255779,451
128-64,"(128, 64)",0.8694900605012964,0.859036299411698,0.869214521013271,461
256-128,"(256, 128)",0.8694900605012964,0.8641575264042789,0.8696072534414709,359
512-256,"(512, 256)",0.8694900605012964,0.8618671510792992,0.8694416323313945,240
256-128-64,"(256, 128, 64)",0.8578219533275713,0.8517942205400129,0.8588584598846829,229
